window,scenario,algorithm,sku,stock_qty
5,baseline,literature_robust,7IE9S,7
5,baseline,literature_robust,68BRQ,6
5,baseline,literature_robust,IQNBU,8
5,baseline,literature_robust,X5TFY,10
5,baseline,literature_robust,ABFD7,7
5,baseline,literature_robust,JO2C3,7
5,baseline,literature_robust,2IA22,6
5,baseline,literature_robust,TU0A5,10
5,baseline,literature_robust,WYFCJ,8
5,baseline,literature_robust,9J5RX,4
5,baseline,literature_robust,9QP7J,7
5,baseline,literature_robust,X59YE,7
5,baseline,literature_robust,520UE,5
5,baseline,literature_robust,IQYAY,3
5,baseline,literature_robust,XJLWY,4
5,baseline,literature_robust,68AG2,6
5,baseline,literature_robust,FZM7U,4
5,baseline,literature_robust,BK9BM,5
5,baseline,literature_robust,RBNO8,5
5,baseline,literature_robust,NSGRM,7
5,baseline,literature_robust,1MR3E,6
5,baseline,literature_robust,FUPBO,7
5,baseline,literature_robust,0OZBT,6
5,baseline,literature_robust,G5878,6
6,baseline,literature_nominal,3YDVF,15
6,baseline,literature_nominal,OV1P9,15
6,baseline,literature_nominal,DWJC4,15
6,baseline,literature_nominal,CZUZX,14
6,baseline,literature_nominal,LJ26I,15
6,baseline,literature_nominal,QGK3S,15
6,baseline,literature_nominal,DMJ70,15
6,baseline,literature_nominal,9Y7M0,13
6,baseline,literature_nominal,M4TM4,14
6,baseline,literature_nominal,E3PAN,14
6,baseline,literature_nominal,4X8P4,9
6,baseline,literature_nominal,7GQRJ,15
6,baseline,literature_nominal,EMJ1S,10
6,baseline,literature_nominal,536VK,8
6,baseline,literature_nominal,JCYBN,15
6,baseline,literature_nominal,51OBI,12
6,baseline,literature_nominal,F79YP,15
6,baseline,literature_nominal,H87RV,7
6,baseline,literature_nominal,2WKBS,10
6,baseline,literature_nominal,20XCP,8
6,baseline,literature_nominal,4R4F9,11
6,baseline,literature_nominal,ZSVWE,7
6,baseline,literature_nominal,B87MU,9
6,baseline,literature_nominal,IRQZ4,14
6,baseline,literature_nominal,JJ9FT,7
6,baseline,literature_nominal,9STQJ,9
6,baseline,literature_nominal,IFUHU,6
6,baseline,literature_nominal,I36F2,9
6,baseline,literature_nominal,C7BXU,7
6,baseline,literature_nominal,7IE9S,5
6,baseline,literature_nominal,68BRQ,6
6,baseline,literature_nominal,IQNBU,7
6,baseline,literature_nominal,X5TFY,9
6,baseline,literature_nominal,ABFD7,7
6,baseline,literature_nominal,JO2C3,5
6,baseline,literature_nominal,TU0A5,8
6,baseline,literature_nominal,5S43J,5
6,baseline,literature_nominal,WYFCJ,7
6,baseline,literature_nominal,9J5RX,3
6,baseline,literature_nominal,9QP7J,5
6,baseline,literature_nominal,X59YE,5
6,baseline,literature_nominal,520UE,3
6,baseline,literature_nominal,68AG2,6
6,baseline,literature_nominal,FZM7U,4
6,baseline,literature_nominal,BK9BM,4
6,baseline,literature_nominal,RBNO8,4
6,baseline,literature_nominal,NSGRM,6
6,baseline,literature_nominal,1MR3E,5
6,baseline,literature_nominal,FUPBO,5
6,baseline,literature_nominal,0OZBT,4
6,baseline,literature_nominal,G5878,5
6,baseline,literature_robust,3YDVF,15
6,baseline,literature_robust,DWJC4,15
6,baseline,literature_robust,CZUZX,15
6,baseline,literature_robust,LJ26I,15
6,baseline,literature_robust,QGK3S,15
6,baseline,literature_robust,M4TM4,15
6,baseline,literature_robust,E3PAN,15
6,baseline,literature_robust,4X8P4,10
6,baseline,literature_robust,7GQRJ,15
6,baseline,literature_robust,EMJ1S,12
6,baseline,literature_robust,536VK,11
6,baseline,literature_robust,JCYBN,15
6,baseline,literature_robust,51OBI,13
6,baseline,literature_robust,F79YP,15
6,baseline,literature_robust,H87RV,8
6,baseline,literature_robust,2WKBS,11
6,baseline,literature_robust,20XCP,10
6,baseline,literature_robust,4R4F9,13
6,baseline,literature_robust,ZSVWE,8
6,baseline,literature_robust,B87MU,10
6,baseline,literature_robust,IRQZ4,15
6,baseline,literature_robust,JJ9FT,8
6,baseline,literature_robust,9STQJ,10
6,baseline,literature_robust,IFUHU,8
6,baseline,literature_robust,I36F2,10
6,baseline,literature_robust,C7BXU,8
6,baseline,literature_robust,7IE9S,6
